epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.97153,0.88929,0.88544,0.99612,0.36656,0.000332036,0.000332036,0.000332036
2,12.6525,0.43923,0.9068,1,0.28588,0.000621455,0.000621455,0.000621455
3,17.986,0.39072,0.92913,0.99709,0.22178,0.000866874,0.000866874,0.000866874
4,23.2355,0.37307,0.94175,0.99903,0.19176,0.000802,0.000802,0.000802
5,28.3874,0.29769,0.93107,0.99903,0.19636,0.000736,0.000736,0.000736
6,50.5525,0.24383,0.95437,1,0.16172,0.00067,0.00067,0.00067
7,55.6538,0.23627,0.94951,0.99903,0.14804,0.000604,0.000604,0.000604
8,60.7251,0.20928,0.95243,0.99903,0.16597,0.000538,0.000538,0.000538
9,65.8903,0.20023,0.95922,0.99806,0.13924,0.000472,0.000472,0.000472
10,70.979,0.17671,0.96311,0.99903,0.12258,0.000406,0.000406,0.000406
11,76.1948,0.16405,0.96893,0.99903,0.10871,0.00034,0.00034,0.00034
12,81.3109,0.14886,0.96699,0.99903,0.10242,0.000274,0.000274,0.000274
13,86.4519,0.1444,0.96893,0.99806,0.10163,0.000208,0.000208,0.000208
14,91.6731,0.12296,0.9699,0.99903,0.09825,0.000142,0.000142,0.000142
15,96.9099,0.13057,0.97184,0.99903,0.09338,7.6e-05,7.6e-05,7.6e-05
